sno	Question1	Question2	Question3	Question4	Question5	Question6	Question7	Question8	Question9	Question10	Question11	Question12	Question13	Question14	Question15
9	Desk Job with normal screen time (सामान्य समय तक कंप्यूटर के सामने बैठकर जॉब)	2nd Tier city (छोटा शहर)	Dry, irritated eyes (सुखी या आंख में जलन होना)	Several times a week (सप्ताह में कई बार)	Eye drops (आई ड्रॉप)	Increased screen time (computer/phone) (ज्यादा समय तक कंप्यूटर/फोन देखना )	18-25	No, not aware (नहीं, अवगत नहीं)	https://api.sae.today/iota/clouds/audio/6c7469ae-2fba-4ea8-8a44-183bbaf1f795-AUDIO.m4a	https://api.sae.today/iota/clouds/audio/43a5f239-d5e6-4d2b-974f-7c33c04b09ac-AUDIO.m4a	Prescription medication (डॉक्टर की सलाह से दवा)	8	Never 	Daily (प्रतिदिन)	Maybe, I’d need more information (शायद, मुझे अधिक जानकारी चाहिए)
10	Desk Job with high screen time (ज्यादा समय तक कंप्यूटर के सामने बैठकर जॉब)	1st Tier City (बड़ा शहर)	Redness (लाल),Blurred vision (धुंधला दिखना)	A few times a month (महीने में कुछ बार)	None of the above (इनमें से कोई नहीं)	Increased screen time (computer/phone) (ज्यादा समय तक कंप्यूटर/फोन देखना ),Air pollution (वायु प्रदूषण)	36-45	No, not aware (नहीं, अवगत नहीं)	https://api.sae.today/iota/clouds/audio/9c6c9825-af35-4fbd-9157-3f02a337e648-AUDIO.m4a	https://api.sae.today/iota/clouds/audio/60e0b8f1-3ca3-4d95-afb3-e0e463d7a475-AUDIO.m4a	Prescription medication (डॉक्टर की सलाह से दवा),Over-the-counter(OTC) eye drops (आई ड्रॉप),A wearable diagnostic and treatment device (पहनने योग्य डायग्नोस्टिक और उपचार डिवाइस),Lifestyle changes (screen time reduction, diet) (जीवनशैली में बदलाव (स्क्रीन टाइम में कमी, आहार))	7	Never 	Rarely (शायद ही कभी)	Yes (हाँ)
11	Desk Job with normal screen time (सामान्य समय तक कंप्यूटर के सामने बैठकर जॉब),Any other (कोई और)	1st Tier City (बड़ा शहर)	Blurred vision (धुंधला दिखना),Sensitivity to light (प्रकाश में जलन होना),Dry, irritated eyes (सुखी या आंख में जलन होना)	A few times a month (महीने में कुछ बार)	Eye drops (आई ड्रॉप)	Increased screen time (computer/phone) (ज्यादा समय तक कंप्यूटर/फोन देखना ),Air pollution (वायु प्रदूषण),Poor diet (खराब आहार)	18-25	No, not aware (नहीं, अवगत नहीं)	https://api.sae.today/iota/clouds/audio/055af18b-4a11-4b89-a651-0213bea23ed0-AUDIO.m4a	https://api.sae.today/iota/clouds/audio/f416d07b-6239-45bc-8b25-02527c388255-AUDIO.m4a	Prescription medication (डॉक्टर की सलाह से दवा),Lifestyle changes (screen time reduction, diet) (जीवनशैली में बदलाव (स्क्रीन टाइम में कमी, आहार))	6	Never 	Rarely (शायद ही कभी)	Yes (हाँ)
12	Any other (कोई और)	2nd Tier city (छोटा शहर)	Never (कभी नहीं)	Never (कभी नहीं)	Eye drops (आई ड्रॉप)	Air pollution (वायु प्रदूषण),Increased screen time (computer/phone) (ज्यादा समय तक कंप्यूटर/फोन देखना ),Poor diet (खराब आहार)	18-25	Yes, fully aware (हाँ, पूरी तरह से अवगत)	https://api.sae.today/iota/clouds/audio/4e83e7ec-2857-487a-b2f6-b2a4d6123757-AUDIO.m4a	https://api.sae.today/iota/clouds/audio/8611c563-710a-42ef-a654-1c8537719f4d-AUDIO.m4a	Prescription medication (डॉक्टर की सलाह से दवा),Lifestyle changes (screen time reduction, diet) (जीवनशैली में बदलाव (स्क्रीन टाइम में कमी, आहार))	5	Never 	Rarely (शायद ही कभी)	Yes (हाँ)
13	Field job in a dusty environment (धूल भरे माहौल में फील्ड जॉब)	1st Tier City (बड़ा शहर)	Dry, irritated eyes (सुखी या आंख में जलन होना)	Rarely (शायद ही कभी)	Eye drops (आई ड्रॉप)	Air pollution (वायु प्रदूषण)	Over 55	No, not aware (नहीं, अवगत नहीं)	https://api.sae.today/iota/clouds/audio/02aab232-54f6-4d80-bca5-2ffa1d903d57-AUDIO.m4a	https://api.sae.today/iota/clouds/audio/fa030c28-e485-423b-9d74-dfa44697e866-AUDIO.m4a	Prescription medication (डॉक्टर की सलाह से दवा)	5	Never 	Rarely (शायद ही कभी)	Yes (हाँ)
14	Any other (कोई और)	3rd Tier city (कस्बा)	Blurred vision (धुंधला दिखना),Sensitivity to light (प्रकाश में जलन होना)	A few times a month (महीने में कुछ बार)	Eye drops (आई ड्रॉप)	Increased screen time (computer/phone) (ज्यादा समय तक कंप्यूटर/फोन देखना ),Aging (उम्र बढ़ना),Poor diet (खराब आहार)	18-25	No, not aware (नहीं, अवगत नहीं)	https://api.sae.today/iota/clouds/audio/d4b04946-7dc7-4047-a0c5-58e3a3533395-AUDIO.m4a	https://api.sae.today/iota/clouds/audio/b42f2777-9e88-45f3-a00c-3583a08f00f1-AUDIO.m4a	Prescription medication (डॉक्टर की सलाह से दवा),Lifestyle changes (screen time reduction, diet) (जीवनशैली में बदलाव (स्क्रीन टाइम में कमी, आहार)),A wearable diagnostic and treatment device (पहनने योग्य डायग्नोस्टिक और उपचार डिवाइस),Over-the-counter(OTC) eye drops (आई ड्रॉप)	7	Never 	A few times a month (महीने में कुछ बार)	Maybe, I’d need more information (शायद, मुझे अधिक जानकारी चाहिए)
15	Desk Job with high screen time (ज्यादा समय तक कंप्यूटर के सामने बैठकर जॉब),Any other (कोई और),Field job in a normal environment (सामान्य माहौल में फील्ड जॉब)	3rd Tier city (कस्बा)	Blurred vision (धुंधला दिखना)	Rarely (शायद ही कभी)	Eye drops (आई ड्रॉप)	Increased screen time (computer/phone) (ज्यादा समय तक कंप्यूटर/फोन देखना )	46-55	Yes, fully aware (हाँ, पूरी तरह से अवगत)	https://api.sae.today/iota/clouds/audio/3298602f-eec3-4301-9329-192f3afb113f-AUDIO.m4a	https://api.sae.today/iota/clouds/audio/ee1d066b-8e56-4773-8fcc-4a9fb959adc5-AUDIO.m4a	Over-the-counter(OTC) eye drops (आई ड्रॉप)	8	Never 	Rarely (शायद ही कभी)	Yes (हाँ)
16	Desk Job with normal screen time (सामान्य समय तक कंप्यूटर के सामने बैठकर जॉब)	1st Tier City (बड़ा शहर)	Blurred vision (धुंधला दिखना)	Daily (प्रतिदिन)	Tablet (टैबलेट)	Increased screen time (computer/phone) (ज्यादा समय तक कंप्यूटर/फोन देखना )	18-25	Yes, somewhat aware (हाँ, कुछ हद तक अवगत)	https://api.sae.today/iota/clouds/audio/cee7e624-3d01-4253-b49e-50ff5fab0509-AUDIO.m4a	https://api.sae.today/iota/clouds/audio/0b5f0bc8-f8c2-47bd-a525-7188ed20774a-AUDIO.m4a	Prescription medication (डॉक्टर की सलाह से दवा)	5	Never 	Rarely (शायद ही कभी)	Maybe, I’d need more information (शायद, मुझे अधिक जानकारी चाहिए)
17	Any other (कोई और)	Villages (गांव)	Never (कभी नहीं)	Never (कभी नहीं)	Eye drops (आई ड्रॉप)	Increased screen time (computer/phone) (ज्यादा समय तक कंप्यूटर/फोन देखना )	18-25	Yes, somewhat aware (हाँ, कुछ हद तक अवगत)	https://api.sae.today/iota/clouds/audio/2e1d2763-3e86-4608-a2a9-481928883feb-AUDIO.m4a	https://api.sae.today/iota/clouds/audio/f7546c20-c152-4d82-9483-e1acc4a0d9f1-AUDIO.m4a	Lifestyle changes (screen time reduction, diet) (जीवनशैली में बदलाव (स्क्रीन टाइम में कमी, आहार)),Prescription medication (डॉक्टर की सलाह से दवा)	2	No	Rarely (शायद ही कभी)	No (नहीं)
18	Desk Job with normal screen time (सामान्य समय तक कंप्यूटर के सामने बैठकर जॉब)	2nd Tier city (छोटा शहर)	Blurred vision (धुंधला दिखना),Redness (लाल)	Several times a week (सप्ताह में कई बार)	Eye drops (आई ड्रॉप)	Aging (उम्र बढ़ना),Increased screen time (computer/phone) (ज्यादा समय तक कंप्यूटर/फोन देखना )	18-25	Yes, somewhat aware (हाँ, कुछ हद तक अवगत)	https://api.sae.today/iota/clouds/audio/2239bf61-b3c5-4a12-97d2-d5aa8119e386-AUDIO.m4a	https://api.sae.today/iota/clouds/audio/316f5771-92c1-4a8e-8662-204bd3d3be5e-AUDIO.m4a	Over-the-counter(OTC) eye drops (आई ड्रॉप),Lifestyle changes (screen time reduction, diet) (जीवनशैली में बदलाव (स्क्रीन टाइम में कमी, आहार)),A wearable diagnostic and treatment device (पहनने योग्य डायग्नोस्टिक और उपचार डिवाइस)	7	Never 	Several times a week (सप्ताह में कई बार)	Yes (हाँ)
19	Any other (कोई और)	1st Tier City (बड़ा शहर)	Redness (लाल)	Rarely (शायद ही कभी)	Eye drops (आई ड्रॉप)	Contact lens use (चश्मा लगाना),Aging (उम्र बढ़ना)	Under 18	Yes, fully aware (हाँ, पूरी तरह से अवगत)	https://api.sae.today/iota/clouds/audio/b918dec0-a9a3-4ff0-9752-a4f97975877a-AUDIO.m4a	https://api.sae.today/iota/clouds/audio/d2016297-5fdd-444d-84e2-63dcf085dd61-AUDIO.m4a	Over-the-counter(OTC) eye drops (आई ड्रॉप),Prescription medication (डॉक्टर की सलाह से दवा),Lifestyle changes (screen time reduction, diet) (जीवनशैली में बदलाव (स्क्रीन टाइम में कमी, आहार))	4	Never 	Rarely (शायद ही कभी)	Yes (हाँ)
20	Field job in a normal environment (सामान्य माहौल में फील्ड जॉब)	3rd Tier city (कस्बा)	Redness (लाल)	Never (कभी नहीं)	Eye drops (आई ड्रॉप)	I don't know (मुझें नहीं पता)	18-25	No, not aware (नहीं, अवगत नहीं)	https://api.sae.today/iota/clouds/audio/1e60450c-0c8e-4fcc-bc45-00cda6804a93-AUDIO.m4a	https://api.sae.today/iota/clouds/audio/a394e610-5a7e-4ea5-ba07-71bf4d474089-AUDIO.m4a	Over-the-counter(OTC) eye drops (आई ड्रॉप)	10	Never 	Never (कभी नहीं)	Maybe, I’d need more information (शायद, मुझे अधिक जानकारी चाहिए)
21	Any other (कोई और)	1st Tier City (बड़ा शहर)	Never (कभी नहीं)	Never (कभी नहीं)	None of the above (इनमें से कोई नहीं)	Increased screen time (computer/phone) (ज्यादा समय तक कंप्यूटर/फोन देखना ),Poor diet (खराब आहार),Contact lens use (चश्मा लगाना),Other (अन्य)	Under 18	Yes, somewhat aware (हाँ, कुछ हद तक अवगत)	https://api.sae.today/iota/clouds/audio/4f9419ab-f08b-4a41-9b8d-1a60e9e5f12d-AUDIO.m4a	https://api.sae.today/iota/clouds/audio/7d603e94-076e-4c94-9c98-0f61c0250830-AUDIO.m4a	Lifestyle changes (screen time reduction, diet) (जीवनशैली में बदलाव (स्क्रीन टाइम में कमी, आहार)),Prescription medication (डॉक्टर की सलाह से दवा)	6	Never 	Rarely (शायद ही कभी)	Maybe, I’d need more information (शायद, मुझे अधिक जानकारी चाहिए)
22	Any other (कोई और)	2nd Tier city (छोटा शहर)	Never (कभी नहीं)	Never (कभी नहीं)	None of the above (इनमें से कोई नहीं)	Increased screen time (computer/phone) (ज्यादा समय तक कंप्यूटर/फोन देखना )	Under 18	No, not aware (नहीं, अवगत नहीं)	https://api.sae.today/iota/clouds/audio/38e5a37d-7875-485f-a2ef-3a23b9184f1c-AUDIO.m4a	https://api.sae.today/iota/clouds/audio/8091f0bd-5d94-4a3b-a959-9cceb1c028a2-AUDIO.m4a	Lifestyle changes (screen time reduction, diet) (जीवनशैली में बदलाव (स्क्रीन टाइम में कमी, आहार))	2	Never 	Never (कभी नहीं)	Maybe, I’d need more information (शायद, मुझे अधिक जानकारी चाहिए)
23	Desk Job with high screen time (ज्यादा समय तक कंप्यूटर के सामने बैठकर जॉब)	2nd Tier city (छोटा शहर)	Redness (लाल)	Daily (प्रतिदिन)	Eye gels (आई जेल)	Air pollution (वायु प्रदूषण)	18-25	No, not aware (नहीं, अवगत नहीं)	https://api.sae.today/iota/clouds/audio/98942ed4-ddcf-4270-a117-908b1593fde9-AUDIO.m4a	https://api.sae.today/iota/clouds/audio/5b22bb86-4ea3-4962-8b79-16a6539a665d-AUDIO.m4a	Prescription medication (डॉक्टर की सलाह से दवा)	7	Yes 	Several times a week (सप्ताह में कई बार)	Yes (हाँ)
24	Any other (कोई और)	1st Tier City (बड़ा शहर)	A feeling of something in the eye (आँख में कुछ महसूस होना)	Rarely (शायद ही कभी)	Eye drops (आई ड्रॉप),Eye gels (आई जेल)	Increased screen time (computer/phone) (ज्यादा समय तक कंप्यूटर/फोन देखना )	Under 18	Yes, somewhat aware (हाँ, कुछ हद तक अवगत)	https://api.sae.today/iota/clouds/audio/9ac78ea9-2706-4373-90fd-b72c5ef3466e-AUDIO.m4a	https://api.sae.today/iota/clouds/audio/fae101f5-b539-474e-bfba-78dd9752fe0f-AUDIO.m4a	Lifestyle changes (screen time reduction, diet) (जीवनशैली में बदलाव (स्क्रीन टाइम में कमी, आहार)),Prescription medication (डॉक्टर की सलाह से दवा)	5	Never 	Rarely (शायद ही कभी)	Yes (हाँ)
25	Desk Job with normal screen time (सामान्य समय तक कंप्यूटर के सामने बैठकर जॉब)	2nd Tier city (छोटा शहर)	Redness (लाल),Dry, irritated eyes (सुखी या आंख में जलन होना),A feeling of something in the eye (आँख में कुछ महसूस होना)	Several times a week (सप्ताह में कई बार)	Eye drops (आई ड्रॉप)	Increased screen time (computer/phone) (ज्यादा समय तक कंप्यूटर/फोन देखना )	18-25	Yes, somewhat aware (हाँ, कुछ हद तक अवगत)	https://api.sae.today/iota/clouds/audio/1e7196b6-cdcd-4e2f-b4d0-b681816fce3a-AUDIO.m4a	https://api.sae.today/iota/clouds/audio/4d8e0d3b-cd52-4d72-9527-81a647a53000-AUDIO.m4a	Over-the-counter(OTC) eye drops (आई ड्रॉप)	7	Never 	Daily (प्रतिदिन)	Maybe, I’d need more information (शायद, मुझे अधिक जानकारी चाहिए)
26	Field job in a dusty environment (धूल भरे माहौल में फील्ड जॉब)	2nd Tier city (छोटा शहर)	Blurred vision (धुंधला दिखना),Redness (लाल)	Rarely (शायद ही कभी)	Eye drops (आई ड्रॉप)	Air pollution (वायु प्रदूषण)	18-25	Yes, fully aware (हाँ, पूरी तरह से अवगत)	https://api.sae.today/iota/clouds/audio/98472d3d-9495-4765-a1cd-a90d2b528ff5-AUDIO.m4a	https://api.sae.today/iota/clouds/audio/ab57b7f7-94b3-4007-8433-d8eb2d432e49-AUDIO.m4a	Over-the-counter(OTC) eye drops (आई ड्रॉप),Prescription medication (डॉक्टर की सलाह से दवा),A wearable diagnostic and treatment device (पहनने योग्य डायग्नोस्टिक और उपचार डिवाइस)	8	Never 	Rarely (शायद ही कभी)	Yes (हाँ)
27	Any other (कोई और)	Villages (गांव)	Sensitivity to light (प्रकाश में जलन होना)	Rarely (शायद ही कभी)	Eye drops (आई ड्रॉप)	Increased screen time (computer/phone) (ज्यादा समय तक कंप्यूटर/फोन देखना ),Air pollution (वायु प्रदूषण),Air-conditioned environments (वातानुकूलित वातावरण),Aging (उम्र बढ़ना),Poor diet (खराब आहार)	18-25	No, not aware (नहीं, अवगत नहीं)	https://api.sae.today/iota/clouds/audio/0ca7db62-3646-4787-99eb-42aa1e80775f-AUDIO.m4a	https://api.sae.today/iota/clouds/audio/b4eef2af-d56c-4222-8a17-3705068e8483-AUDIO.m4a	Prescription medication (डॉक्टर की सलाह से दवा),Over-the-counter(OTC) eye drops (आई ड्रॉप),Lifestyle changes (screen time reduction, diet) (जीवनशैली में बदलाव (स्क्रीन टाइम में कमी, आहार)),A wearable diagnostic and treatment device (पहनने योग्य डायग्नोस्टिक और उपचार डिवाइस)	8	Never 	Rarely (शायद ही कभी)	No (नहीं)
